593,1198,1196,2571,2762,1617,50,1197,912,1221
1198,1196,593,2762,2571,50,1197,1617,110,912
1198,1196,593,2762,2571,1197,50,110,1617,912
1198,2762,1196,593,2571,110,1197,912,1221,1617
1198,593,1196,2762,2571,50,1197,1617,110,912
1198,2762,1196,2571,593,110,1197,50,589,1617
2000,1374,110,2762,1198,1196,2571,593,2406,589
1198,1196,2762,593,2571,1197,110,50,1617,589
1198,1196,2762,593,2571,110,1197,50,1617,589
1196,1198,593,2762,2571,1197,50,110,1617,589
1954,3253,3702,1287,2640,2947,367,1376,588,2
593,1198,2762,2571,1196,50,1197,1617,1213,110
3253,1954,2640,3702,367,2,1287,2011,2947,1376
3253,1954,2640,3702,367,2,1287,3225,1917,3173
1096,367,2,1287,2011,378,1375,3262,552,1689
1917,3173,3225,1617,338,1837,912,50,2002,1213
1196,1198,593,2762,2571,1197,50,1617,110,1214
1196,1198,593,2762,2571,1197,110,50,589,1617
1196,1198,1954,2571,593,2762,1197,110,50,589
1198,1196,2762,593,2571,110,1197,50,1617,589
2042,3825,2701,3489,3453,1541,1562,3593,3354,1848
1954,1196,1287,1198,3253,50,593,3702,1197,2640
1954,3253,1287,3702,2640,2947,1376,367,2,1096
1198,1196,593,2762,2571,1197,50,110,1617,589
1198,1196,2762,2571,593,110,1197,50,589,1617
1198,593,1196,2762,2571,50,1197,1617,110,912
1198,1196,593,2762,2571,1221,912,1197,1617,50
2019,922,1256,1953,1221,1219,1252,912,913,919
2762,1198,2571,110,593,1196,1197,589,50,1617
1198,1196,2762,593,2571,1197,110,50,1617,589
1198,2762,1196,2571,593,110,1197,50,1617,912
1198,1196,593,2762,2571,1197,50,110,1617,589
1196,1198,2000,110,2762,1374,2571,593,589,1197
1198,1196,2762,593,2571,1197,110,50,1617,589
1256,922,2019,1953,1212,1219,1252,162,913,1248
1198,1196,2762,593,2571,110,1197,50,589,1617
1954,1287,3253,2000,2947,3702,1374,1196,2640,1036
1954,3253,3702,2640,1287,2947,588,1376,1196,1036
593,1198,50,1196,1617,2762,1197,2571,919,912
1954,3253,2640,3702,1287,588,1917,2947,3173,2012
1954,3253,3702,1287,2947,2640,1196,588,1376,1198
1196,1954,1198,2571,1197,3253,2762,593,1036,3702
1198,1196,593,2762,2571,1197,50,1617,110,912
593,1198,50,1196,2762,1617,2571,1197,919,912
1954,1287,3253,3702,2640,2947,588,1196,1961,1214
160,1556,2699,1882,2986,1499,1590,2053,2616,3113
1198,1196,2762,593,2571,1197,110,50,1617,912
1196,1198,2762,593,2571,1197,110,50,589,1617
1198,1196,2762,2571,593,110,1197,50,589,1617
1198,1196,593,2762,2571,110,1197,50,589,1617
1198,2762,593,1196,2571,110,1197,50,1617,589
2762,1198,2571,593,1196,110,1197,50,589,1617
1198,1196,593,2762,2571,1197,50,1617,110,912
1721,367,2,592,161,160,2011,587,1882,1556
1917,160,1556,2699,1882,2986,1499,3173,1590,2616
367,2,3253,2640,1721,2011,592,3702,1375,3262
1954,3253,1287,3702,2640,2947,588,1376,1096,2139
1196,1198,593,2762,2571,1197,50,1617,110,589
367,2,3253,2011,2640,3262,1375,378,552,1689
1917,367,2,3173,3225,2011,3262,378,552,1375
1954,1287,3253,3702,2640,2947,588,1376,1961,1096
1954,3253,1287,3702,2640,2947,588,1376,1096,367
593,1198,50,1196,1617,2762,1197,2571,919,1213
1198,2762,1196,2571,593,110,1197,50,589,1617
2000,1374,2406,1721,110,349,3256,161,592,2115
1196,1198,2571,2762,593,1197,110,50,589,1617
2019,1256,922,1953,1219,1252,1221,1212,913,912
593,1198,2762,1196,50,2571,1197,110,1617,589
1198,1196,2762,593,2571,1197,110,50,1617,589
1196,1198,2571,593,2762,1197,50,110,1954,589
2000,1196,1198,110,1374,2762,2571,593,589,1036
2701,2042,3825,1562,3593,173,3354,546,1391,3453
1954,1196,3253,1198,3702,1287,2947,2640,1197,1200
1198,1196,593,2762,2571,1197,50,110,1617,912
2000,110,1374,2762,2571,1198,2406,593,1721,356
1198,1196,593,2762,2571,1197,50,110,1617,589
1954,1287,3253,3702,2947,2640,588,1376,1196,1036
3253,2640,3702,367,1917,1954,2,3173,3225,2011
1256,2019,922,1953,1212,1219,1252,162,1262,913
1198,2762,1196,110,593,2571,2000,1197,589,50
1198,1196,593,2762,2571,1197,912,1221,1617,50
1198,1196,2762,2571,593,110,1197,589,50,2000
1196,1198,1954,593,1197,2571,50,2762,1214,1200
1196,1198,2762,2571,593,110,1197,50,589,1617
3253,1954,2640,3702,1287,367,3225,3173,2,2947
2762,1198,593,2571,1196,110,1197,50,1617,589
367,2,2011,552,3262,1375,378,2640,1689,3253
2019,922,1256,1953,1219,1221,1252,913,912,919
2042,3825,2701,3489,3453,1541,1848,3593,1887,1562
1954,3253,1287,3702,2640,2947,588,1196,1376,1961
1198,1196,2762,2571,593,1197,110,912,1221,1617
1954,1287,3253,3702,2640,2947,588,1376,1096,1961
1196,1954,1198,3253,1197,2571,593,3702,1214,2762
2762,1198,593,2571,1196,110,1197,50,1617,912
1198,1196,2762,593,2571,110,1197,50,1617,589
1198,1196,2762,593,2571,110,1197,50,1617,589
2019,1256,922,1953,1219,1212,1252,913,1221,1262
1198,1196,2762,593,2571,1197,110,50,1617,589
1196,1954,1198,1197,3253,593,1214,2571,3702,50
1954,3253,3702,2640,2947,1287,588,1376,2139,2193
2762,593,2571,1198,110,1196,50,1197,1617,589
1954,1256,922,1953,2019,3253,2947,3702,1287,162
2762,1198,110,2571,593,1196,2000,1197,589,50
1196,1198,2571,2762,593,1197,1954,110,50,589
1198,2762,1196,593,2571,110,1197,50,1617,589
1198,1196,2762,593,2571,1197,110,50,1617,912
1198,1196,593,2762,2571,1197,50,110,1617,912
1954,3253,1287,3702,2640,2947,1196,588,1221,1214
1198,2762,1196,593,2571,110,1197,50,589,1617
