2858,1252,260,904,858,923,527,913,593,1247
2858,2324,260,1234,527,904,1198,1208,1196,1247
2858,260,904,1198,527,318,1196,593,2762,2324
2858,260,1252,858,1198,318,527,2762,1196,913
2858,2324,260,1234,527,1208,318,1148,1198,1358
2858,2324,260,904,1198,318,3147,2762,1196,364
480,364,2000,1374,110,1101,260,2762,349,1198
2858,2324,260,904,1198,1196,923,318,527,1148
2858,2324,260,1198,1196,904,318,527,2762,2028
260,2324,2858,1954,1196,1234,1198,1148,1208,527
2987,1954,25,3253,3527,3702,1287,2640,3176,2407
2858,2324,260,1358,318,1089,527,2692,593,2028
2987,3253,1954,3527,2640,3702,25,3176,2694,2976
2987,3253,1954,3527,2640,3702,3176,2407,1573,2042
25,3176,3093,3685,2694,2987,1096,2976,367,446
2042,2858,3825,1917,3173,3225,3453,1541,608,25
2858,2324,260,1234,1196,904,1198,1208,527,1148
260,1954,1287,1196,1222,2858,2947,1198,2324,3253
260,1954,3253,1196,1287,1198,3702,2858,2947,2640
260,2858,1198,2324,1196,318,2762,2028,527,593
1917,2699,2042,3825,2701,3173,3489,3225,3453,1541
2987,1954,25,1287,260,3253,3702,2640,2858,2947
2987,1954,25,3253,3527,1287,3702,2640,2947,2407
2858,2324,260,1198,527,904,318,1196,593,2028
260,2324,2858,1198,1196,904,318,2028,3147,2762
2858,2324,1234,260,1208,527,1148,1247,318,904
2858,1252,260,2019,858,1267,1198,3435,527,913
858,3435,2019,260,1267,922,2858,1256,1221,1953
2858,364,480,260,2701,318,2762,1198,2324,2571
2858,904,260,1198,318,1196,2324,527,2762,593
2858,1252,260,913,1198,923,858,904,318,2762
2858,2324,260,1198,527,904,318,1196,593,923
480,364,1954,260,3753,1101,1196,349,1198,3256
2858,2324,260,904,1198,1196,923,318,527,1148
3435,1256,922,2019,1945,2186,1267,1953,1219,930
260,2324,2858,1198,904,1196,3147,318,527,1148
2987,1954,1287,25,590,3253,2947,480,3702,2640
2987,1954,3253,3702,3527,2640,1287,2947,2407,590
2858,25,527,1234,260,1208,858,2324,608,1148
2987,1954,3253,2640,3527,3702,1287,2407,1917,2371
2987,1954,3253,3527,3702,1287,590,2947,2640,1196
260,1954,3253,1196,3702,2987,2947,1287,1198,2640
2858,260,2324,527,1198,318,1196,593,904,2028
2858,25,527,1234,260,2324,1208,858,1148,318
2987,1954,1287,3253,25,3702,2640,3527,2947,2407
2701,1562,160,3354,3593,173,153,2699,2450,1556
2858,260,904,1198,318,1196,527,2762,858,1252
260,1954,1287,2858,1222,1196,2947,1198,2324,904
260,364,2858,1198,318,2324,1196,2762,2028,904
260,1954,2324,2858,1234,1198,1287,1196,1148,1208
2858,2324,260,318,1198,904,527,2762,593,1196
2858,364,260,318,2324,2762,1198,904,527,3147
2858,1252,904,260,1247,527,923,2324,1198,1234
480,2694,2976,367,1721,2701,2,231,1101,592
2701,2699,2042,1917,1562,3593,160,3354,173,3825
25,2987,2694,3527,2976,367,3176,2,3253,480
2987,1954,25,3253,1287,3527,3702,2640,2947,2407
260,1954,2858,2324,1234,1196,1208,1198,1148,527
