1,2,3,4,5,6,7,8,9,10
4790,9067,6362,1701,13826,8863,7414,209,9349,8042
4790,9067,6362,1701,13826,209,12262,2925,1512,574
8863,4790,4907,9067,9349,13826,6362,1701,14119,8483
5755,6679,11661,4790,12173,7151,3567,1403,1823,9415
7414,8042,7608,8399,8991,13256,2487,2352,5807,6365
4790,9067,6362,1701,13826,12262,209,1512,2925,1459
3818,5870,570,7290,11539,3463,739,4591,6889,12391
5755,11661,6679,7151,3567,12173,1403,9146,1823,9415
3818,5870,7414,8042,13532,3463,1988,10912,570,739
7414,8042,7608,8399,6679,5755,11661,13256,2352,2487
5755,8863,7151,6679,1403,11661,3592,1823,12173,9415
4790,9067,6362,209,1701,13826,12262,5755,6679,2925
11661,5755,6679,7151,3567,12173,1403,9415,9146,1823
7414,8042,7608,8399,6679,13256,5755,8991,2352,2487
5755,11661,6679,7151,3567,1403,12173,9415,1823,9146
5755,11661,7151,6679,12173,3592,1823,9146,9415,1403
11661,5755,6679,7151,12173,3567,1823,1403,9415,9146
11661,5755,7151,6679,12173,3592,9146,9415,1403,1823
11661,5755,7151,6679,12173,3592,9146,9415,1403,3567
8863,10660,14119,9244,4826,767,5035,802,8448,2740
5755,6679,4790,11661,3567,12173,7151,1403,9067,1823
3818,5870,570,7290,11539,3463,4591,6889,739,12391
13826,1701,10660,8483,9067,839,9349,13521,5554,8968
7414,8042,8399,7608,8991,13256,8863,2487,2352,5807
4790,1701,9067,13826,6362,8968,1512,1988,8483,1459
4790,9067,5755,6362,8863,13826,1701,6679,9349,12262
3818,5870,570,7290,11539,4591,739,10275,6889,3463
4790,9067,6362,1701,13826,12262,209,1512,2925,1459
7414,8042,10275,7608,8399,4790,13256,9067,8991,6362
7414,8042,7608,8399,8991,2487,13256,2352,9311,1255
7414,8042,7608,8399,10275,13256,8991,2487,2352,5807
7414,8042,8399,7608,8863,8991,2487,2352,13256,6365
4790,9067,6362,1701,13826,12262,209,2925,1512,9349
5870,3818,10275,570,739,4591,11539,7290,6889,3463
10660,11934,802,4592,8448,7924,7582,6482,12380,8154
4790,9067,6362,1701,13826,209,12262,2925,1512,574
5755,11661,10275,6679,7151,12173,3567,1823,9146,3592
7414,10275,8042,4790,7608,8399,9067,1701,6362,13826
4790,9067,6362,1701,13826,12262,209,1512,2925,8968
5755,11661,6679,7151,1403,12173,3567,1823,9146,9415
5755,11661,6679,7151,1403,3567,12173,9415,8863,9146
8863,4790,9067,13826,1701,9349,4907,6362,8483,14119
10660,13826,8483,11432,5554,7924,8448,839,4592,1701
3818,5870,10275,570,7290,3463,11539,739,6889,4591
7414,8042,7608,8399,8991,13256,2487,2352,5807,6365
4790,9067,1701,13826,6362,1459,2199,12262,356,9349
1988,10660,5870,3463,3223,10912,3818,13532,2669,739
10660,8448,4592,802,6482,6443,2168,12380,338,7924
6679,5755,11661,7414,8042,7151,12173,1823,7608,3567
7414,8042,7608,8399,8991,13256,2487,2352,5807,6365
4790,9067,1701,13826,6362,1512,8968,12262,9349,8483
8863,10660,14119,9244,4826,767,802,8448,5035,2740
5755,11661,6679,7151,12173,1403,1823,3567,9415,9146
11661,5755,6679,7151,12173,3567,1403,1823,9415,9146
8863,10660,14119,9244,4826,767,802,5035,8448,4592
7414,8042,7608,8399,4790,6679,5755,13256,9067,6362
7414,8042,8399,7608,8991,2487,13532,9311,1988,1255
4790,9067,1701,13826,6362,1459,2199,12262,356,9349
7414,8042,7608,8399,8991,13256,2487,2352,5807,6365
5755,11661,6679,7151,3567,12173,1403,9146,1823,9415
8863,10660,14119,9244,4826,767,5035,802,8448,2740
11661,5755,6679,7151,12173,1403,3567,9415,9146,3592
4790,9067,13826,1701,6362,9349,8483,1459,574,2925
8863,5755,6679,1403,11661,7151,7414,8042,12173,9415
11661,5755,7151,6679,12173,3592,9146,9415,1403,3567
4790,9067,1701,13826,6362,8863,9349,12262,1512,8968
3818,5870,10275,570,7290,11539,4591,739,3463,6889
3818,5870,7290,570,11539,4591,6889,3463,739,12391
4790,9067,6362,1701,10275,13826,12262,209,1512,2925
4790,9067,6362,1701,13826,12262,1512,209,1459,9349
