1,2,3,4,5,6,7,8,9,10
4790,13826,9349,12521,7414,8483,1459,9067,3736,4907
4790,13826,1459,9349,8483,3736,12521,5554,5870,4808
8863,4907,13826,9349,12521,14119,9521,10620,2596,13741
6679,3592,13804,7693,11806,13826,4790,4134,393,12521
7414,8042,7608,8399,8991,13256,5807,2352,1094,2487
4790,13826,1459,9349,8483,12521,3736,5554,4808,11432
10275,3818,7290,5870,570,11539,9527,4591,12090,8711
11661,3592,6679,13804,5755,11806,3567,7693,1403,3332
10275,5870,3463,10912,7414,739,6889,2487,3818,12391
7414,2487,8042,6365,7608,1255,8399,5800,6679,3592
6679,3592,13804,11806,7693,11903,13741,4134,749,9521
4790,13826,9349,1459,9067,12521,8483,6362,3736,5554
11661,6679,5755,3567,7151,1403,12173,9415,9146,1823
7414,8042,7608,8399,6679,11661,13256,5807,5755,8991
11661,3592,13804,11806,7693,3332,11903,4134,393,749
11661,6679,3567,5755,1403,7151,12173,9146,9415,1823
11661,3592,11806,13804,7693,3332,5870,11903,4134,3280
11661,3592,11806,13804,3332,6679,7693,9253,3280,11903
11661,3592,11806,13804,3332,7693,9253,3280,11903,1161
8863,5511,4862,10660,6133,7856,13747,11726,9765,2426
6679,3592,13804,7693,13826,11806,1459,4790,4134,393
10275,5870,6889,3463,12391,739,2346,4869,6969,11434
4790,13826,10660,9349,8483,1459,3736,12521,839,6744
7414,2487,1255,6365,5800,9837,13909,9831,208,897
4790,13826,10275,1459,9067,9349,6362,8483,1701,839
4790,13826,9349,1459,12521,3592,8483,7693,3736,13804
10275,3818,7290,5870,570,11539,4591,9527,12090,8711
4790,13826,1459,9349,8483,12521,3736,5554,4907,2596
7414,2487,13826,1255,6365,5800,4409,13909,9837,897
7414,2487,1255,6365,5800,9831,13909,897,9837,13826
7414,2487,1255,6365,5800,13909,9837,208,7891,9831
7414,2487,1255,6365,9837,5800,13909,9831,897,7891
4790,13826,1459,9349,8483,12521,3736,5554,4808,2596
10275,5870,739,8595,6889,12391,8332,3463,10611,11434
5511,4862,6133,10660,13747,7856,11661,2439,3567,11726
4790,13826,9349,1459,8483,3736,12521,5554,4808,845
10275,3592,13804,7693,11806,3332,5206,5870,13945,1161
10275,13826,2487,9349,1255,4409,6365,8483,897,9831
4790,13826,1459,9349,8483,9067,3736,12521,5554,4808
11661,3592,13804,11806,7693,3332,5206,1161,11903,13945
11661,3592,13804,6679,11806,7693,5755,3332,11903,3567
4790,13826,9349,4907,12521,8483,1459,2596,3736,10620
