1,2,3,4,5,6,7,8,9,10
4790,13826,9349,7414,9067,6362,12521,209,8483,8042
4790,9067,6362,10275,209,1701,12262,13826,2925,1512
8863,4790,7414,9067,6362,209,8399,6435,1403,4907
6679,3592,13804,4790,11661,5755,3567,7693,1403,12173
7414,8042,7608,8399,8991,13256,5807,2352,1094,2487
4790,9067,6362,209,1701,12262,13826,1512,2925,6435
10275,3818,7290,5870,570,11539,9527,4591,12090,8711
11661,6679,5755,3567,1403,7151,10275,12173,9146,9415
10275,5870,7414,3463,12882,3818,10912,8042,8859,739
7414,8042,7608,8399,6679,11661,5755,13256,5807,8991
6679,3592,13804,11806,11661,5755,7693,3567,8863,1403
4790,13826,9067,6362,9349,209,6679,1459,12262,1701
11661,6679,5755,3567,7151,1403,12173,9415,9146,1823
7414,8042,7608,8399,6679,11661,13256,5807,5755,8991
11661,6679,5755,3567,1403,7151,12173,9415,9146,1823
11661,6679,3567,5755,1403,7151,12173,9146,9415,1823
11661,6679,5755,3567,7151,12173,1403,9415,9146,1823
11661,7354,6679,4996,5755,3567,7151,1403,12173,9415
11661,6679,5755,3567,7151,1403,12173,9146,9415,2736
8863,5511,4862,10660,6133,7856,10620,13747,6744,11726
6679,3592,4790,13804,5755,11661,3567,7693,9067,1403
10275,3818,7290,5870,570,11539,12090,4591,9527,8711
4790,9067,1701,6362,13826,5511,209,1512,12262,2925
7414,8042,7608,8399,8991,13256,5807,8863,1094,2352
4790,10275,9067,6362,1701,13826,1512,12262,209,8968
4790,9067,6679,6362,5755,209,3567,12262,1403,8863
10275,3818,7290,5870,570,11539,4591,9527,12090,8711
4790,9067,6362,209,12262,1701,13826,1512,2925,356
7414,10275,8042,7608,4790,8399,6362,9067,13256,8991
7414,2487,8859,8042,7608,1255,5993,8399,6365,8991
7414,10275,8042,7608,8399,13256,8991,5807,2352,1094
7414,8042,7608,8399,8863,8991,5807,13256,1094,2352
4790,9067,6362,209,1701,12262,13826,2925,1512,6435
10275,3818,7290,5870,7414,570,9527,4591,11539,8042
5511,4862,6133,10660,13747,7856,11661,2439,3567,11726
4790,13826,845,11432,9349,839,1459,9067,8483,5222
10275,11661,6679,3567,5755,12173,7151,1403,9146,9415
10275,7414,8042,4790,7608,8399,9067,6362,1701,209
4790,839,845,13826,9067,11432,6362,5222,1459,1701
11661,6679,5755,3567,1403,7151,12173,9415,9146,1823
11661,3592,6679,5755,13804,3567,11806,1403,7151,12173
4790,13826,14119,9349,845,4907,8863,839,12521,9067
4790,10660,11432,13826,5511,1459,7924,9349,9067,8483
10275,3818,7290,5870,570,11539,12090,9527,4591,8711
7414,8042,2487,7608,8399,5993,1255,8991,7885,13256
4790,9067,6362,12262,1701,209,13826,356,1459,2199
5511,3818,1988,5870,10660,7290,13747,13532,4862,6133
5511,4862,10660,6133,13747,1988,7856,6744,11726,4790
7414,3592,6679,11661,13804,5755,10275,8042,3567,11806
7414,8042,7608,8399,8991,13256,5807,10275,2352,2487
4790,9067,6362,1701,13826,12262,209,1512,8968,2925
8863,14119,10660,767,10620,9256,5511,6744,9244,1486
6679,3592,11661,5755,3567,13804,1403,7151,12173,7414
11661,3592,6679,5755,3567,7151,12173,13804,1403,9415
8863,14119,767,9256,10660,9244,1486,10620,4592,8288
7414,2487,8042,13826,7608,4790,6365,8399,6679,10275
7414,8042,7608,8399,8991,13256,13532,2487,9311,5807
4790,9067,6362,12262,1701,209,13826,356,1459,2199
7414,8042,7608,8399,8991,13256,5807,2352,1094,2487
11661,6679,5755,3567,1403,7151,12173,9415,9146,1823
8863,5511,4862,10660,6133,7856,10620,13747,6744,11726
11661,7354,10823,6679,5755,3567,7151,1403,12173,9415
4790,845,13826,11432,9067,6362,839,209,9349,5222
7414,6679,8863,5755,11661,1403,3567,8042,7608,4790
11661,6679,5755,3567,7151,1403,12173,9146,9415,2736
4790,13826,9349,9067,6362,1459,1701,209,8483,12262
10275,3818,7290,5870,570,11539,4591,9527,12090,8711
10275,3818,7290,5870,570,12090,11539,8711,4591,9527
4790,11432,10275,845,9067,6362,839,209,1701,12262
4790,9067,6362,1701,12262,209,13826,1512,2925,356
4790,13826,1459,11432,9349,9067,845,8483,6362,3736
