1,2,3,4,5,6,7,8,9,10
13826,1701,9067,9349,8863,8483,6362,12521,574,4907
1701,13826,9067,6362,8483,9349,574,1459,4790,8968
8863,4907,14119,9349,13826,8483,9244,767,1486,5035
5755,7151,12173,1823,6679,3592,9415,13804,9146,1403
8042,7414,8399,7608,2487,8991,2352,13256,6365,1255
9067,1701,13826,4790,6362,9349,1459,12262,8483,8968
5870,3818,3463,739,6889,12391,11539,5719,6969,11678
5755,7151,3592,13804,1823,12173,9146,9415,11661,3332
5870,3463,10912,739,3818,6889,13532,3223,2669,12391
8042,7414,8399,7608,5755,2487,2352,13256,6365,8991
5755,8863,7151,3592,13804,10823,1823,198,12431,14119
9067,4790,6362,13826,1701,5755,12262,9349,2925,209
5755,7151,11661,12173,3592,6679,1823,13804,9415,9146
8042,7414,8399,7608,2487,5755,2352,13256,6365,8991
5755,7151,11661,12173,3592,6679,1823,9415,13804,9146
5755,7151,3592,13804,5206,3332,1823,13945,10823,8154
5755,7151,11661,12173,3592,1823,6679,13804,9415,9146
7151,5755,3592,13804,3332,12173,11806,11661,1823,7354
5755,7151,3592,13804,3332,11661,12173,1823,11806,9146
9244,802,4826,2168,2740,3140,338,2942,188,1593
5755,7151,12173,1823,6679,3592,9415,9146,13804,1403
5870,3818,3463,739,6889,12391,11539,6969,5719,11678
8483,13826,839,10660,3606,6458,13521,8448,11432,802
8042,7414,8399,7608,2487,8863,8991,2352,6365,13256
1701,13826,8483,839,10912,8968,9349,13521,5554,5537
13826,5755,8863,9349,8483,1701,5554,9067,12521,13804
5870,3818,739,3463,6889,12391,11539,4591,5719,6969
9067,1701,13826,4790,6362,9349,1459,12262,2199,8483
8042,7414,8399,7608,2487,13256,8991,1701,6365,2352
8042,8399,7414,2487,7608,8991,6365,5800,1255,2352
8042,7414,8399,7608,2487,13256,8991,2352,6365,1255
8042,8399,8863,2487,6365,7414,5800,8991,2352,1255
9067,1701,13826,4790,6362,12262,9349,1459,1512,8483
5870,739,3818,3463,6889,12391,8332,4591,11539,4996
802,2168,2942,8448,12380,8710,7919,338,188,1593
9067,1701,13826,6362,4790,8483,9349,2925,574,8968
5755,7151,3592,13804,1823,12173,9146,9415,3332,7693
8042,1701,13826,8399,2487,9067,9349,8483,4409,7414
1701,9067,13826,6362,4790,9349,8483,8968,1459,1512
5755,7151,3592,13804,1823,12173,9146,9415,3332,5206
5755,7151,11661,3592,12173,6679,8863,1823,1403,9415
8863,13826,9349,4907,8483,14119,1701,9244,5554,767
802,8483,8448,2168,2942,7007,6482,2753,11107,10660
5870,3818,3463,739,6889,12391,5719,6969,11539,11678
8042,7414,8399,7608,2487,8991,2352,13256,6365,1255
13826,1701,1459,8483,2199,9349,5554,11432,9067,839
10660,3463,10912,5870,3223,1988,2669,739,8448,839
802,8448,2168,338,6443,6482,2942,188,1593,1853
5755,7151,12173,1823,6679,3592,11661,13804,8042,9415
8042,7414,8399,7608,2487,8991,2352,13256,6365,1255
1701,13826,8483,9067,9349,8968,839,1459,5554,13521
9244,802,4826,2168,2740,3140,338,2942,188,1593
5755,7151,12173,3592,1823,13804,11661,9415,6679,9146
5755,7151,11661,12173,3592,1823,6679,13804,9146,9415
9244,802,4826,2168,3140,2740,338,2942,188,1593
8042,7414,7608,8399,5755,2487,13256,2352,6365,9067
8042,8399,2487,6365,13532,8991,10912,5800,7414,1255
13826,1701,1459,8483,2199,9349,5554,11432,9067,839
8042,7414,8399,7608,2487,8991,2352,13256,6365,1255
5755,7151,11661,12173,3592,1823,6679,9146,13804,9415
9244,802,4826,2168,2740,3140,338,2942,188,1593
5755,7151,11661,3592,12173,13804,1823,9415,3332,9146
13826,8483,1701,9349,5554,11432,845,839,5222,6458
8863,5755,7151,3592,13804,1823,14119,12173,6365,4907
5755,7151,3592,13804,3332,11661,12173,1823,11806,9146
13826,1701,9067,9349,8863,8483,8968,4907,1459,839
5870,3818,739,3463,6889,12391,11539,4591,5719,6969
5870,3818,739,3463,6889,12391,11539,5719,6969,4591
9067,1701,13826,6362,4790,9349,12262,1459,8968,8483
1701,13826,9067,9349,8483,1459,6362,2199,8968,4790
9067,1701,13826,6362,4790,1459,12262,9349,2199,8483
1701,9067,13826,6362,1459,8483,4790,9349,2199,574
9244,14119,4826,802,5035,6665,2740,3140,2168,3099
5870,3818,3463,739,6889,12391,5719,6969,11539,5739
5870,13826,1701,3818,8483,6889,3463,12391,5554,574
5755,7151,3592,12173,1823,13804,9415,9146,11806,7693
5870,3818,7151,5755,6889,3592,13804,12391,1823,11539
8042,7414,8399,7608,5755,2487,2352,7151,13256,6365
5755,7151,3592,13804,3332,11806,1823,12173,10823,7693
9244,802,4826,2168,2740,3140,338,2942,188,1593
8042,7414,8399,7608,2487,8991,13256,2352,6365,1255
5755,7151,11661,12173,3592,1823,6679,13804,9415,9146
5755,7151,11661,12173,3592,1823,6679,13804,9415,9146
9244,802,4826,8483,2168,3140,2753,11107,7007,338
5755,7151,12173,3592,1823,6679,11661,13804,9146,9415
13826,1701,1459,8483,2199,9349,5554,9067,11432,845
8042,7414,8399,7608,2487,13256,2352,8991,6365,5755
8042,7414,8399,7608,2487,8991,6365,2352,1255,13256
8042,7414,8399,7608,2487,8991,2352,13256,8863,6365
8042,7414,8399,7608,2487,8991,2352,13256,6365,1255
8042,7414,8399,7608,2487,8991,13256,2352,6365,1255
5755,7151,3592,13804,1823,8863,12173,9415,9146,1403
9067,1701,13826,4790,6362,9349,12262,1459,8483,8968
8863,9067,13826,1701,9349,6362,4907,4790,8483,12521
9067,1701,13826,6362,4790,9349,8483,1459,8968,12262
13804,10823,7151,11432,8483,5755,3592,5554,5206,7924
9067,1701,13826,4790,6362,9349,12262,1459,8483,8968
5870,3818,6889,7151,739,12391,11539,13804,4591,3463
8042,7414,8399,7608,2487,8991,13256,2352,6365,1255
8042,7414,8399,7608,2487,8991,13256,2352,6365,1255
7151,5755,8042,3592,6365,2487,13804,3332,11806,5800
7151,5755,5206,3592,13804,8154,10823,3332,6668,13945
5870,3818,739,3463,6889,12391,8332,11539,5719,4591
8863,4907,14119,9349,8483,13826,9244,767,5035,1486
802,2168,2942,338,7919,12380,8710,14082,12613,188
5870,7151,5755,3592,13804,3818,12173,1823,6889,3332
9244,802,4826,2168,2740,3140,338,2942,188,1593
1701,13826,9067,9349,8483,6362,1459,8968,2199,574
5755,7151,11661,3592,12173,1823,6679,9415,9146,13804
802,2168,8448,2942,338,8710,188,1593,1853,7045
5755,7151,3592,13804,3332,5206,1823,12173,11806,7693
5755,7151,11661,3592,12173,1823,9146,6679,13804,9415
7151,5755,3592,3332,13804,7354,4996,11806,6996,12173
9067,1701,13826,4790,6362,9349,12262,1459,8483,8968
6365,802,13804,10150,12811,10823,6033,9653,11781,338
9244,14119,4826,5035,802,6665,3140,2740,3099,2168
5755,7151,12173,3592,11661,1823,13804,9146,6679,9415
7151,5755,5206,3592,13804,8154,3332,10823,13945,6668
5755,7151,11661,3592,12173,6679,1823,1403,9415,13804
5755,7151,11661,12173,3592,6679,1823,9415,13804,9146
8042,2487,6365,8399,5800,2352,13909,1255,7891,8991
8042,7414,8399,7608,5755,8863,2487,13256,2352,6365
5870,13532,10912,1988,3463,3223,8042,2487,2669,739
8042,8399,7414,2487,7608,6365,8991,5800,2352,1255
7151,13804,8863,10823,14119,12811,9244,198,9653,4826
5755,7151,12173,1823,6679,3592,13804,9415,9146,9050
13826,1459,8483,2199,11432,5554,9349,1701,10997,4993
8042,7414,7608,8399,2487,2352,13256,6365,5755,8991
5755,7151,3592,12173,6679,1823,11661,9415,13804,1403
5870,3818,3463,739,6889,12391,11539,5719,6969,11678
5755,7151,11661,12173,3592,1823,6679,9146,9415,13804
9067,1701,13826,4790,6362,12262,9349,1459,8968,1512
5870,3818,7151,6889,13804,3592,5755,12391,739,11539
1701,13826,9067,8483,9349,8968,1459,2199,6362,5554
9067,4790,13826,6362,1701,5755,9349,12262,2925,209
5755,7151,11661,12173,3592,6679,1823,13804,9415,9146
5755,7151,11661,12173,3592,1823,6679,9415,13804,9146
5870,3818,739,3463,6889,12391,11539,4591,5719,6969
5870,739,2487,6365,6889,4996,12391,7354,3463,8042
5755,7151,11661,12173,3592,1823,6679,9415,13804,9146
1701,13826,9067,8483,9349,8968,1459,839,2199,5554
5755,7151,3592,12173,13804,8042,11661,3332,1823,11806
5755,7151,12173,3592,1823,13804,9415,9146,11806,11661
8042,8863,8399,7414,7608,2487,6365,13826,1701,8991
5870,3818,3463,739,6889,12391,11539,5719,6969,11678
